time,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
39.478,0.0,0.0,-0.25,0.25,0.0,0.0
39.578,0.0,0.0,-0.25,0.25,0.0,0.0
39.678,0.0,0.0,-0.25,0.25,0.0,0.0
39.778,0.0,0.0,-0.25,0.25,0.0,0.0
39.878,0.0,0.0,-0.25,0.25,0.0,0.0
39.979,0.0,0.0,-0.25,0.25,0.0,0.0
40.078,0.0,0.0,-0.25,0.25,0.0,0.0
40.179,0.0,0.0,-0.25,0.25,0.0,0.0
40.278,0.0,0.0,-0.25,0.25,0.0,0.0
40.378,0.0,0.0,-0.25,0.25,0.0,0.0
40.479,0.0,0.0,-0.25,0.25,0.0,0.0
40.578,0.0,0.0,-0.25,0.25,0.0,0.0
40.678,0.0,0.0,-0.25,0.25,0.0,0.0
40.778,0.0,0.0,-0.25,0.25,0.0,0.0
40.878,0.0,0.0,-0.25,0.25,0.0,0.0
40.978,0.0,0.0,-0.25,0.25,0.0,0.0
41.078,0.0,0.0,-0.25,0.25,0.0,0.0
41.178,0.0,0.0,-0.25,0.25,0.0,0.0
41.278,0.0,0.0,-0.25,0.25,0.0,0.0
41.378,0.0,0.0,-0.25,0.25,0.0,0.0
41.479,0.0,0.0,-0.25,0.25,0.0,0.0
41.578,0.0,0.0,-0.25,0.25,0.0,0.0
41.678,0.0,0.0,-0.25,0.25,0.0,0.0
41.778,0.0,0.0,-0.25,0.25,0.0,0.0
41.878,0.0,0.0,-0.25,0.25,0.0,0.0
41.978,0.0,0.0,-0.25,0.25,0.0,0.0
42.078,0.0,0.0,-0.25,0.25,0.0,0.0
42.178,0.0,0.0,-0.25,0.25,0.0,0.0
42.278,0.0,0.0,-0.25,0.25,0.0,0.0
42.378,0.0,0.0,-0.25,0.25,0.0,0.0
42.482,0.0,0.0,-0.25,0.25,0.0,0.0
42.578,0.0,0.0,-0.25,0.25,0.0,0.0
42.679,0.0,0.0,-0.25,0.25,0.0,0.0
42.779,0.0,0.0,-0.25,0.25,0.0,0.0
42.878,0.0,0.0,-0.25,0.25,0.0,0.0
42.978,0.0,0.0,-0.25,0.25,0.0,0.0
43.078,0.0,0.0,-0.25,0.25,0.0,0.0
43.179,0.0,0.0,-0.25,0.25,0.0,0.0
43.278,0.0,0.0,-0.25,0.25,0.0,0.0
43.378,0.0,0.0,-0.25,0.25,0.0,0.0
43.479,0.0,0.0,-0.25,0.25,0.0,0.0
43.58,0.0,0.0,-0.25,0.25,0.0,0.0
43.679,0.0,0.0,-0.25,0.25,0.0,0.0
43.782,0.0,0.0,-0.25,0.25,0.0,0.0
43.878,0.0,0.0,-0.25,0.25,0.0,0.0
43.979,0.0,0.0,-0.25,0.25,0.0,0.0
44.079,0.0,0.0,-0.25,0.25,0.0,0.0
44.179,0.0,0.0,-0.25,0.25,0.0,0.0
44.278,0.0,0.0,-0.25,0.25,0.0,0.0
44.378,0.0,0.0,-0.25,0.25,0.0,0.0
44.477,0.0,0.0,-0.25,0.25,0.0,0.0
44.579,0.0,0.0,-0.25,0.25,0.0,0.0
44.678,0.0,0.0,-0.25,0.25,0.0,0.0
44.78,0.0,0.0,-0.25,0.25,0.0,0.0
44.878,0.0,0.0,-0.25,0.25,0.0,0.0
44.978,0.0,0.0,-0.25,0.25,0.0,0.0
45.081,0.0,0.0,-0.25,0.25,0.0,0.0
45.178,0.0,0.0,-0.25,0.25,0.0,0.0
45.279,0.0,0.0,-0.25,0.25,0.0,0.0
45.379,0.0,0.0,-0.25,0.25,0.0,0.0
45.478,0.0,0.0,-0.25,0.25,0.0,0.0
45.578,0.0,0.0,-0.25,0.25,0.0,0.0
45.678,0.0,0.0,-0.25,0.25,0.0,0.0
45.778,0.0,0.0,-0.25,0.25,0.0,0.0
45.88,0.0,0.0,0.25,0.25,0.0,0.0
45.978,0.0,0.0,0.25,0.25,0.0,0.0
46.078,0.0,0.0,0.25,0.25,0.0,0.0
46.179,0.0,0.0,0.25,0.25,0.0,0.0
46.278,0.0,0.0,0.25,0.25,0.0,0.0
46.381,0.0,0.0,0.25,0.25,0.0,0.0
